Entity,Code,Year,Public social expenditure as a share of GDP
Chile,CHL,1986,13.311
Chile,CHL,1987,11.496
Chile,CHL,1988,10.237
Chile,CHL,1989,9.667
Chile,CHL,1990,9.558
Chile,CHL,1991,9.569
Chile,CHL,1992,9.139
Chile,CHL,1993,9.257
Chile,CHL,1994,8.974
Chile,CHL,1995,10.745
Chile,CHL,1996,11.619
Chile,CHL,1997,11.326
Chile,CHL,1998,11.707
Chile,CHL,1999,12.486
Chile,CHL,2000,10.214
Chile,CHL,2001,9.899
Chile,CHL,2002,9.915
Chile,CHL,2003,9.764
Chile,CHL,2004,9.177
Chile,CHL,2005,8.829
Chile,CHL,2006,8.212
Chile,CHL,2007,8.389
Chile,CHL,2008,9.527
Chile,CHL,2009,11.46
Chile,CHL,2010,10.543
Chile,CHL,2011,10.074
Chile,CHL,2012,10.133
Chile,CHL,2013,10.087
Chile,CHL,2014,10.371
Chile,CHL,2015,10.901
Chile,CHL,2016,11.129
Chile,CHL,2017,11.416
Chile,CHL,2018,11.386
Chile,CHL,2019,11.656
Chile,CHL,2020,15.501
Chile,CHL,2021,19.585
Chile,CHL,2022,12.313
Chile,CHL,2023,12.882
Germany,DEU,1880,0.5
Germany,DEU,1890,0.53
Germany,DEU,1900,0.59
Germany,DEU,1930,4.82
Germany,DEU,1960,15.369004
Germany,DEU,1961,15.304998
Germany,DEU,1962,15.388236
Germany,DEU,1963,15.828846
Germany,DEU,1964,15.354482
Germany,DEU,1965,16.084034
Germany,DEU,1966,16.293688
Germany,DEU,1967,17.689854
Germany,DEU,1968,17.47867
Germany,DEU,1969,16.950384
Germany,DEU,1970,16.568996
Germany,DEU,1971,17.315866
Germany,DEU,1972,17.964119
Germany,DEU,1973,18.296705
Germany,DEU,1974,19.96038
Germany,DEU,1975,23.057457
Germany,DEU,1976,22.730425
Germany,DEU,1977,22.577394
Germany,DEU,1978,22.024511
Germany,DEU,1979,21.587797
Germany,DEU,1980,21.788
Germany,DEU,1981,22.446
Germany,DEU,1982,22.433
Germany,DEU,1983,22.14
Germany,DEU,1984,21.881
Germany,DEU,1985,22.228
