Country,Country_OLD,Year,COW_Code_A,COW_Code_N,WordBank_Code_A,UN_Code_N,Region,PTS_A,PTS_H,PTS_S,NA_Status_A,NA_Status_H,NA_Status_S
Chile,Chile,1976,CHL,155,CHL,152,lac,4,NA,3,0,88,0
Chile,Chile,1977,CHL,155,CHL,152,lac,4,NA,3,0,88,0
Chile,Chile,1978,CHL,155,CHL,152,lac,5,NA,NA,0,88,88
Chile,Chile,1979,CHL,155,CHL,152,lac,4,NA,3,0,88,0
Chile,Chile,1980,CHL,155,CHL,152,lac,4,NA,4,0,88,0
Chile,Chile,1981,CHL,155,CHL,152,lac,5,NA,3,0,88,0
Chile,Chile,1982,CHL,155,CHL,152,lac,4,NA,3,0,88,0
Chile,Chile,1983,CHL,155,CHL,152,lac,4,NA,3,0,88,0
Chile,Chile,1984,CHL,155,CHL,152,lac,4,NA,3,0,88,0
Chile,Chile,1985,CHL,155,CHL,152,lac,4,NA,3,0,88,0
Chile,Chile,1986,CHL,155,CHL,152,lac,4,NA,5,0,88,0
Chile,Chile,1987,CHL,155,CHL,152,lac,4,NA,4,0,88,0
Chile,Chile,1988,CHL,155,CHL,152,lac,3,NA,4,0,88,0
Chile,Chile,1989,CHL,155,CHL,152,lac,3,NA,3,0,88,0
Chile,Chile,1990,CHL,155,CHL,152,lac,3,NA,3,0,99,0
Chile,Chile,1991,CHL,155,CHL,152,lac,3,NA,3,0,88,0
Chile,Chile,1992,CHL,155,CHL,152,lac,3,NA,3,0,99,0
Chile,Chile,1993,CHL,155,CHL,152,lac,3,NA,2,0,88,0
Chile,Chile,1994,CHL,155,CHL,152,lac,2,NA,2,0,88,0
Chile,Chile,1995,CHL,155,CHL,152,lac,2,NA,2,0,99,0
Chile,Chile,1996,CHL,155,CHL,152,lac,2,NA,2,0,99,0
Chile,Chile,1997,CHL,155,CHL,152,lac,2,NA,2,0,88,0
Chile,Chile,1998,CHL,155,CHL,152,lac,2,NA,2,0,88,0
Chile,Chile,1999,CHL,155,CHL,152,lac,2,NA,2,0,88,0
Chile,Chile,2000,CHL,155,CHL,152,lac,2,NA,2,0,99,0
Chile,Chile,2001,CHL,155,CHL,152,lac,2,NA,2,0,99,0
Chile,Chile,2002,CHL,155,CHL,152,lac,2,NA,2,0,99,0
Chile,Chile,2003,CHL,155,CHL,152,lac,2,NA,2,0,99,0
Chile,Chile,2004,CHL,155,CHL,152,lac,1,NA,1,0,88,0
Chile,Chile,2005,CHL,155,CHL,152,lac,1,NA,1,0,99,0
Chile,Chile,2006,CHL,155,CHL,152,lac,2,NA,1,0,88,0
