Country,,Year,value
Soviet Union / Russia,,1960,
Soviet Union / Russia,,1961,
Soviet Union / Russia,,1962,
Soviet Union / Russia,,1963,
Soviet Union / Russia,,1964,
Soviet Union / Russia,,1965,
Soviet Union / Russia,,1966,
Soviet Union / Russia,,1967,
Soviet Union / Russia,,1968,
Soviet Union / Russia,,1969,
Soviet Union / Russia,,1970,
Soviet Union / Russia,,1971,
Soviet Union / Russia,,1972,
Soviet Union / Russia,,1973,
Soviet Union / Russia,,1974,
Soviet Union / Russia,,1975,
Soviet Union / Russia,,1976,
Soviet Union / Russia,,1977,
Soviet Union / Russia,,1978,
Soviet Union / Russia,,1979,
Soviet Union / Russia,,1980,
Soviet Union / Russia,,1981,
Soviet Union / Russia,,1982,
Soviet Union / Russia,,1983,
Soviet Union / Russia,,1984,
Soviet Union / Russia,,1985,
Soviet Union / Russia,,1986,
Soviet Union / Russia,,1987,
Soviet Union / Russia,,1988,
Soviet Union / Russia,,1989,
Soviet Union / Russia,,1990,
Soviet Union / Russia,,1991,
Soviet Union / Russia,,1992,
Soviet Union / Russia,,1993,
Soviet Union / Russia,,1994,
Soviet Union / Russia,,1995,
Soviet Union / Russia,,1996,
Soviet Union / Russia,,1997,
Soviet Union / Russia,"pct of gdp, https://www.imf.org/external/datamapper/exp@FPP/EGY/ZAF",1998,39.68279272
Soviet Union / Russia,"pct of gdp, https://www.imf.org/external/datamapper/exp@FPP/EGY/ZAF",1999,34.28674332
Soviet Union / Russia,"pct of gdp, https://www.imf.org/external/datamapper/exp@FPP/EGY/ZAF",2000,30.65071508
Soviet Union / Russia,"pct of gdp, https://www.imf.org/external/datamapper/exp@FPP/EGY/ZAF",2001,31.4642669
Soviet Union / Russia,"pct of gdp, https://www.imf.org/external/datamapper/exp@FPP/EGY/ZAF",2002,33.81792973
Soviet Union / Russia,"pct of gdp, https://www.imf.org/external/datamapper/exp@FPP/EGY/ZAF",2003,32.59868899
Soviet Union / Russia,"pct of gdp, https://www.imf.org/external/datamapper/exp@FPP/EGY/ZAF",2004,29.62839577
Soviet Union / Russia,"pct of gdp, https://www.imf.org/external/datamapper/exp@FPP/EGY/ZAF",2005,29.45786662
