country,regime,seed,spark_rate,n_sparked_ticks,time_to_first_spark,mean_run_length,max_run_length,n_runs
Chile,representative,9600,0.97625,781,0,52.06666666666667,222,15
Chile,representative,9601,0.99,792,0,113.14285714285714,258,7
Chile,representative,9602,0.9775,782,0,55.857142857142854,239,14
Chile,representative,9603,0.92,736,0,14.72,72,50
Chile,representative,9604,0.98,784,0,71.27272727272727,400,11
Chile,representative,9605,0.98625,789,0,87.66666666666667,485,9
Chile,representative,9606,0.96875,775,0,38.75,243,20
Chile,representative,9607,0.995,796,0,265.3333333333333,390,3
Chile,representative,9608,0.83625,669,0,9.557142857142857,48,70
Chile,representative,9609,0.9725,778,0,40.94736842105263,198,19
Chile,representative,9610,0.9225,738,0,38.8421052631579,131,19
Chile,representative,9611,0.8475,678,0,8.805194805194805,70,77
Chile,representative,9612,0.99,792,1,158.4,674,5
Chile,representative,9613,0.9925,794,0,158.8,334,5
Chile,representative,9614,0.995,796,0,199.0,624,4
Chile,captured,19600,0.66,528,0,4.258064516129032,24,124
Chile,captured,19601,0.6725,538,0,4.075757575757576,37,132
Chile,captured,19602,0.785,628,1,6.038461538461538,49,104
Chile,captured,19603,0.79875,639,0,6.264705882352941,44,102
Chile,captured,19604,0.8625,690,0,8.625,56,80
Chile,captured,19605,0.815,652,2,7.010752688172043,42,93
Chile,captured,19606,0.845,676,0,8.894736842105264,42,76
Chile,captured,19607,0.79625,637,2,6.245098039215686,47,102
Chile,captured,19608,0.9075,726,1,14.816326530612244,176,49
Chile,captured,19609,0.70125,561,9,5.2924528301886795,48,106
Chile,captured,19610,0.5425,434,0,2.5680473372781063,15,169
Chile,captured,19611,0.56125,449,5,2.565714285714286,11,175
Chile,captured,19612,0.7875,630,0,6.116504854368932,39,103
Chile,captured,19613,0.98375,787,0,87.44444444444444,329,9
Chile,captured,19614,0.9575,766,0,31.916666666666668,216,24
Chile,dictatorship,29600,0.13125,105,11,1.3461538461538463,4,78
Chile,dictatorship,29601,0.02,16,167,1.1428571428571428,2,14
Chile,dictatorship,29602,0.04125,33,46,1.064516129032258,2,31
Chile,dictatorship,29603,0.03375,27,9,1.125,2,24
Chile,dictatorship,29604,0.035,28,64,1.0769230769230769,2,26
Chile,dictatorship,29605,0.01625,13,60,1.1818181818181819,3,11
Chile,dictatorship,29606,0.25125,201,9,1.9705882352941178,12,102
Chile,dictatorship,29607,0.09,72,2,1.411764705882353,4,51
Chile,dictatorship,29608,0.015,12,83,1.0909090909090908,2,11
Chile,dictatorship,29609,0.1325,106,80,1.5588235294117647,6,68
Chile,dictatorship,29610,0.02625,21,20,1.105263157894737,2,19
Chile,dictatorship,29611,0.0975,78,0,1.5294117647058822,7,51
Chile,dictatorship,29612,0.03125,25,79,1.25,3,20
Chile,dictatorship,29613,0.06125,49,47,1.1951219512195121,3,41
Chile,dictatorship,29614,0.015,12,388,1.2,2,10
