country,regime,seed,spark_rate,n_sparked_ticks,time_to_first_spark,mean_run_length,max_run_length,n_runs
Egypt,representative,9600,0.87875,703,0,9.76388888888889,38,72
Egypt,representative,9601,0.95875,767,0,28.40740740740741,285,27
Egypt,representative,9602,0.85375,683,1,7.850574712643678,23,87
Egypt,representative,9603,0.79875,639,0,5.862385321100917,22,109
Egypt,representative,9604,0.83375,667,0,7.940476190476191,27,84
Egypt,representative,9605,0.78,624,0,6.117647058823529,41,102
Egypt,representative,9606,0.705,564,0,4.440944881889764,25,127
Egypt,representative,9607,0.92,736,0,16.0,59,46
Egypt,representative,9608,0.7075,566,0,4.639344262295082,26,122
Egypt,representative,9609,0.88875,711,2,11.46774193548387,97,62
Egypt,representative,9610,0.88875,711,0,11.46774193548387,68,62
Egypt,representative,9611,0.86,688,0,7.478260869565218,38,92
Egypt,representative,9612,0.9925,794,0,198.5,350,4
Egypt,representative,9613,0.97125,777,0,37.0,100,21
Egypt,representative,9614,0.88,704,0,9.513513513513514,39,74
Egypt,captured,19600,0.69125,553,3,4.1893939393939394,20,132
Egypt,captured,19601,0.64375,515,1,3.410596026490066,17,151
Egypt,captured,19602,0.70375,563,0,4.201492537313433,20,134
Egypt,captured,19603,0.6725,538,0,3.927007299270073,18,137
Egypt,captured,19604,0.75875,607,11,5.780952380952381,34,105
Egypt,captured,19605,0.72,576,0,5.142857142857143,30,112
Egypt,captured,19606,0.815,652,0,7.494252873563219,35,87
Egypt,captured,19607,0.71625,573,3,4.939655172413793,31,116
Egypt,captured,19608,0.79125,633,0,6.459183673469388,37,98
Egypt,captured,19609,0.6125,490,1,3.7404580152671754,18,131
Egypt,captured,19610,0.56125,449,0,2.7888198757763973,11,161
Egypt,captured,19611,0.54,432,0,3.130434782608696,14,138
Egypt,captured,19612,0.72625,581,1,4.503875968992248,20,129
Egypt,captured,19613,0.94625,757,0,23.65625,144,32
Egypt,captured,19614,0.6325,506,3,4.728971962616822,52,107
Egypt,dictatorship,29600,0.13625,109,15,1.5352112676056338,8,71
Egypt,dictatorship,29601,0.01,8,0,1.0,1,8
Egypt,dictatorship,29602,0.04625,37,9,1.0571428571428572,2,35
Egypt,dictatorship,29603,0.02875,23,23,1.0,1,23
Egypt,dictatorship,29604,0.02625,21,1,1.1666666666666667,2,18
Egypt,dictatorship,29605,0.05875,47,4,1.2702702702702702,3,37
Egypt,dictatorship,29606,0.27375,219,0,1.8403361344537814,8,119
Egypt,dictatorship,29607,0.06125,49,55,1.2894736842105263,4,38
Egypt,dictatorship,29608,0.01375,11,228,1.0,1,11
Egypt,dictatorship,29609,0.1125,90,17,1.25,4,72
Egypt,dictatorship,29610,0.05,40,58,1.25,3,32
Egypt,dictatorship,29611,0.095,76,48,1.6170212765957446,6,47
Egypt,dictatorship,29612,0.03125,25,18,1.0869565217391304,2,23
Egypt,dictatorship,29613,0.05375,43,4,1.048780487804878,3,41
Egypt,dictatorship,29614,0.0125,10,234,1.0,1,10
