country,regime,seed,spark_rate,n_sparked_ticks,time_to_first_spark,mean_run_length,max_run_length,n_runs
Germany,representative,9600,0.86875,695,0,8.273809523809524,42,84
Germany,representative,9601,0.9825,786,0,60.46153846153846,227,13
Germany,representative,9602,0.8075,646,0,6.46,50,100
Germany,representative,9603,0.805,644,0,6.1923076923076925,23,104
Germany,representative,9604,0.77875,623,0,6.557894736842106,35,95
Germany,representative,9605,0.75625,605,1,5.353982300884955,27,113
Germany,representative,9606,0.74875,599,0,5.650943396226415,25,106
Germany,representative,9607,0.815,652,0,7.494252873563219,38,87
Germany,representative,9608,0.7525,602,0,5.574074074074074,35,108
Germany,representative,9609,0.84625,677,0,7.872093023255814,30,86
Germany,representative,9610,0.82,656,0,7.130434782608695,47,92
Germany,representative,9611,0.80625,645,0,5.91743119266055,34,109
Germany,representative,9612,0.92625,741,0,19.5,86,38
Germany,representative,9613,0.87125,697,0,11.063492063492063,46,63
Germany,representative,9614,0.8575,686,0,8.265060240963855,30,83
Germany,captured,19600,0.57375,459,1,3.5307692307692307,18,130
Germany,captured,19601,0.615,492,2,3.4405594405594404,23,143
Germany,captured,19602,0.71625,573,1,4.441860465116279,15,129
Germany,captured,19603,0.70125,561,1,4.675,24,120
Germany,captured,19604,0.79,632,0,5.448275862068965,31,116
Germany,captured,19605,0.64125,513,0,4.5,41,114
Germany,captured,19606,0.81375,651,0,7.076086956521739,30,92
Germany,captured,19607,0.695,556,1,4.793103448275862,23,116
Germany,captured,19608,0.73375,587,0,5.149122807017544,28,114
Germany,captured,19609,0.56625,453,1,3.4580152671755724,32,131
Germany,captured,19610,0.53125,425,4,2.3097826086956523,14,184
Germany,captured,19611,0.51125,409,0,2.605095541401274,13,157
Germany,captured,19612,0.72625,581,0,4.503875968992248,19,129
Germany,captured,19613,0.9525,762,0,27.214285714285715,109,28
Germany,captured,19614,0.74375,595,3,6.538461538461538,46,91
Germany,dictatorship,29600,0.08125,65,7,1.3,7,50
Germany,dictatorship,29601,0.02875,23,1,1.0,1,23
Germany,dictatorship,29602,0.06625,53,28,1.2045454545454546,4,44
Germany,dictatorship,29603,0.03375,27,63,1.173913043478261,3,23
Germany,dictatorship,29604,0.03125,25,52,1.0869565217391304,2,23
Germany,dictatorship,29605,0.04625,37,6,1.1935483870967742,2,31
Germany,dictatorship,29606,0.18125,145,14,1.5263157894736843,5,95
Germany,dictatorship,29607,0.065,52,1,1.1304347826086956,3,46
Germany,dictatorship,29608,0.0125,10,228,1.0,1,10
Germany,dictatorship,29609,0.07125,57,17,1.5,4,38
Germany,dictatorship,29610,0.02375,19,45,1.1176470588235294,3,17
Germany,dictatorship,29611,0.065,52,72,1.2682926829268293,3,41
Germany,dictatorship,29612,0.02875,23,22,1.2105263157894737,3,19
Germany,dictatorship,29613,0.06625,53,4,1.2045454545454546,4,44
Germany,dictatorship,29614,0.0125,10,54,1.0,1,10
