country,regime,seed,spark_rate,n_sparked_ticks,time_to_first_spark,mean_run_length,max_run_length,n_runs
Korea,representative,9600,0.97875,783,0,46.05882352941177,215,17
Korea,representative,9601,0.99625,797,0,199.25,587,4
Korea,representative,9602,0.9125,730,0,15.208333333333334,101,48
Korea,representative,9603,0.87875,703,0,9.901408450704226,37,71
Korea,representative,9604,0.9875,790,3,263.3333333333333,579,3
Korea,representative,9605,0.99375,795,0,132.5,462,6
Korea,representative,9606,0.8825,706,0,13.074074074074074,86,54
Korea,representative,9607,0.99,792,0,88.0,446,9
Korea,representative,9608,0.82625,661,0,7.184782608695652,34,92
Korea,representative,9609,0.94,752,0,17.488372093023255,169,43
Korea,representative,9610,0.975,780,0,52.0,204,15
Korea,representative,9611,0.8775,702,2,8.775,38,80
Korea,representative,9612,0.9975,798,0,266.0,753,3
Korea,representative,9613,0.995,796,0,199.0,565,4
Korea,representative,9614,0.955,764,0,25.466666666666665,204,30
Korea,captured,19600,0.7675,614,0,5.847619047619047,26,105
Korea,captured,19601,0.755,604,1,5.864077669902913,29,103
Korea,captured,19602,0.74875,599,0,4.6796875,18,128
Korea,captured,19603,0.8175,654,4,7.604651162790698,47,86
Korea,captured,19604,0.85375,683,0,8.228915662650602,41,83
Korea,captured,19605,0.72875,583,0,6.625,46,88
Korea,captured,19606,0.7425,594,1,6.1875,43,96
Korea,captured,19607,0.76125,609,8,5.970588235294118,38,102
Korea,captured,19608,0.88625,709,0,14.46938775510204,89,49
Korea,captured,19609,0.6375,510,0,3.642857142857143,24,140
Korea,captured,19610,0.5975,478,1,3.208053691275168,14,149
Korea,captured,19611,0.6075,486,0,3.375,14,144
Korea,captured,19612,0.7625,610,0,5.446428571428571,39,112
Korea,captured,19613,0.9825,786,0,98.25,500,8
Korea,captured,19614,0.88875,711,0,15.8,100,45
Korea,dictatorship,29600,0.07875,63,40,1.2352941176470589,3,51
Korea,dictatorship,29601,0.01625,13,191,1.0833333333333333,2,12
Korea,dictatorship,29602,0.0425,34,9,1.0303030303030303,2,33
Korea,dictatorship,29603,0.04625,37,23,1.3703703703703705,4,27
Korea,dictatorship,29604,0.0725,58,14,1.2608695652173914,4,46
Korea,dictatorship,29605,0.0325,26,22,1.1304347826086956,2,23
Korea,dictatorship,29606,0.23125,185,0,1.8316831683168318,14,101
Korea,dictatorship,29607,0.0675,54,27,1.2272727272727273,4,44
Korea,dictatorship,29608,0.015,12,329,1.0,1,12
Korea,dictatorship,29609,0.07875,63,17,1.5,4,42
Korea,dictatorship,29610,0.045,36,42,1.3846153846153846,4,26
Korea,dictatorship,29611,0.1,80,55,1.6666666666666667,8,48
Korea,dictatorship,29612,0.0275,22,159,1.2222222222222223,3,18
Korea,dictatorship,29613,0.05625,45,9,1.1538461538461537,3,39
Korea,dictatorship,29614,0.0125,10,8,1.0,1,10
