country,regime,seed,spark_rate,n_sparked_ticks,time_to_first_spark,mean_run_length,max_run_length,n_runs
Russia,representative,9600,0.87125,697,0,11.813559322033898,57,59
Russia,representative,9601,0.9575,766,0,27.357142857142858,78,28
Russia,representative,9602,0.815,652,0,6.52,30,100
Russia,representative,9603,0.80375,643,0,5.89908256880734,30,109
Russia,representative,9604,0.8175,654,0,6.673469387755102,40,98
Russia,representative,9605,0.79,632,0,6.583333333333333,43,96
Russia,representative,9606,0.7875,630,0,5.779816513761468,39,109
Russia,representative,9607,0.8825,706,0,10.537313432835822,50,67
Russia,representative,9608,0.63375,507,2,3.81203007518797,34,133
Russia,representative,9609,0.8675,694,2,8.463414634146341,36,82
Russia,representative,9610,0.78125,625,4,5.841121495327103,37,107
Russia,representative,9611,0.755,604,0,4.7936507936507935,21,126
Russia,representative,9612,0.965,772,0,36.76190476190476,114,21
Russia,representative,9613,0.925,740,0,16.444444444444443,88,45
Russia,representative,9614,0.8425,674,0,8.120481927710843,34,83
Russia,captured,19600,0.61,488,0,3.436619718309859,21,142
Russia,captured,19601,0.66875,535,0,4.115384615384615,21,130
Russia,captured,19602,0.65,520,1,3.48993288590604,16,149
Russia,captured,19603,0.6975,558,3,4.728813559322034,44,118
Russia,captured,19604,0.7475,598,0,4.708661417322834,29,127
Russia,captured,19605,0.625,500,0,5.319148936170213,61,94
Russia,captured,19606,0.7325,586,1,4.6141732283464565,32,127
Russia,captured,19607,0.6475,518,0,3.547945205479452,18,146
Russia,captured,19608,0.7375,590,0,5.619047619047619,54,105
Russia,captured,19609,0.62875,503,0,4.122950819672131,16,122
Russia,captured,19610,0.5425,434,1,2.912751677852349,15,149
Russia,captured,19611,0.5,400,0,2.395209580838323,9,167
Russia,captured,19612,0.705,564,0,4.338461538461538,20,130
Russia,captured,19613,0.92625,741,0,19.5,111,38
Russia,captured,19614,0.7675,614,0,5.847619047619047,39,105
Russia,dictatorship,29600,0.1025,82,5,1.3225806451612903,3,62
Russia,dictatorship,29601,0.01875,15,236,1.1538461538461537,2,13
Russia,dictatorship,29602,0.03625,29,9,1.0740740740740742,3,27
Russia,dictatorship,29603,0.03,24,87,1.1428571428571428,2,21
Russia,dictatorship,29604,0.0775,62,33,1.2156862745098038,3,51
Russia,dictatorship,29605,0.0375,30,63,1.2,4,25
Russia,dictatorship,29606,0.175,140,1,1.5217391304347827,7,92
Russia,dictatorship,29607,0.04875,39,17,1.1470588235294117,4,34
Russia,dictatorship,29608,0.015,12,5,1.0,1,12
Russia,dictatorship,29609,0.11625,93,17,1.273972602739726,4,73
Russia,dictatorship,29610,0.045,36,86,1.2413793103448276,3,29
Russia,dictatorship,29611,0.14,112,19,1.7230769230769232,6,65
Russia,dictatorship,29612,0.03,24,19,1.2,2,20
Russia,dictatorship,29613,0.0875,70,41,1.2280701754385965,4,57
Russia,dictatorship,29614,0.01375,11,54,1.0,1,11
