country,regime,seed,spark_rate,n_sparked_ticks,time_to_first_spark,mean_run_length,max_run_length,n_runs
South Africa,representative,9600,0.845,676,0,7.7701149425287355,29,87
South Africa,representative,9601,0.90625,725,0,15.425531914893616,83,47
South Africa,representative,9602,0.83,664,0,7.0638297872340425,38,94
South Africa,representative,9603,0.77625,621,0,4.889763779527559,56,127
South Africa,representative,9604,0.71125,569,0,5.172727272727273,24,110
South Africa,representative,9605,0.7675,614,0,6.019607843137255,34,102
South Africa,representative,9606,0.6725,538,0,4.138461538461539,25,130
South Africa,representative,9607,0.83625,669,1,7.77906976744186,43,86
South Africa,representative,9608,0.75,600,0,5.128205128205129,24,117
South Africa,representative,9609,0.865,692,0,7.688888888888889,36,90
South Africa,representative,9610,0.7175,574,0,4.484375,24,128
South Africa,representative,9611,0.78,624,0,5.073170731707317,20,123
South Africa,representative,9612,0.92875,743,0,19.05128205128205,172,39
South Africa,representative,9613,0.825,660,0,7.252747252747253,36,91
South Africa,representative,9614,0.84375,675,1,7.336956521739131,25,92
South Africa,captured,19600,0.55125,441,0,3.218978102189781,28,137
South Africa,captured,19601,0.5925,474,0,3.6744186046511627,15,129
South Africa,captured,19602,0.62875,503,0,3.753731343283582,32,134
South Africa,captured,19603,0.6375,510,0,3.75,16,136
South Africa,captured,19604,0.63125,505,1,3.7686567164179103,21,134
South Africa,captured,19605,0.63625,509,1,3.856060606060606,29,132
South Africa,captured,19606,0.66375,531,1,4.084615384615384,39,130
South Africa,captured,19607,0.6625,530,7,3.557046979865772,24,149
South Africa,captured,19608,0.75,600,0,5.660377358490566,31,106
South Africa,captured,19609,0.49625,397,0,3.1015625,24,128
South Africa,captured,19610,0.57125,457,1,2.910828025477707,16,157
South Africa,captured,19611,0.5425,434,2,2.7125,12,160
South Africa,captured,19612,0.68625,549,1,4.6923076923076925,27,117
South Africa,captured,19613,0.855,684,0,8.883116883116884,56,77
South Africa,captured,19614,0.63875,511,0,4.120967741935484,27,124
South Africa,dictatorship,29600,0.10125,81,10,1.2461538461538462,4,65
South Africa,dictatorship,29601,0.025,20,49,1.1111111111111112,2,18
South Africa,dictatorship,29602,0.07,56,28,1.1914893617021276,3,47
South Africa,dictatorship,29603,0.03,24,63,1.263157894736842,3,19
South Africa,dictatorship,29604,0.0475,38,30,1.1875,3,32
South Africa,dictatorship,29605,0.0425,34,55,1.1333333333333333,4,30
South Africa,dictatorship,29606,0.1725,138,1,1.422680412371134,6,97
South Africa,dictatorship,29607,0.0425,34,42,1.2142857142857142,2,28
South Africa,dictatorship,29608,0.0125,10,329,1.0,1,10
South Africa,dictatorship,29609,0.05625,45,17,1.25,3,36
South Africa,dictatorship,29610,0.03875,31,58,1.1923076923076923,3,26
South Africa,dictatorship,29611,0.0625,50,72,1.2195121951219512,3,41
South Africa,dictatorship,29612,0.03625,29,34,1.16,3,25
South Africa,dictatorship,29613,0.06625,53,4,1.06,3,50
South Africa,dictatorship,29614,0.01125,9,8,1.0,1,9
