country,regime,seed,spark_rate,n_sparked_ticks,time_to_first_spark,mean_run_length,max_run_length,n_runs
United Kingdom,representative,9600,0.83,664,0,8.405063291139241,50,79
United Kingdom,representative,9601,0.97875,783,0,48.9375,200,16
United Kingdom,representative,9602,0.83375,667,0,7.095744680851064,26,94
United Kingdom,representative,9603,0.805,644,0,5.551724137931035,31,116
United Kingdom,representative,9604,0.89125,713,0,10.803030303030303,51,66
United Kingdom,representative,9605,0.84125,673,1,7.91764705882353,41,85
United Kingdom,representative,9606,0.775,620,2,5.585585585585585,25,111
United Kingdom,representative,9607,0.78625,629,1,6.227722772277228,62,101
United Kingdom,representative,9608,0.715,572,0,4.434108527131783,27,129
United Kingdom,representative,9609,0.84,672,1,7.724137931034483,37,87
United Kingdom,representative,9610,0.7125,570,0,5.135135135135135,43,111
United Kingdom,representative,9611,0.75375,603,2,5.336283185840708,25,113
United Kingdom,representative,9612,0.97375,779,0,55.642857142857146,218,14
United Kingdom,representative,9613,0.93875,751,0,20.2972972972973,89,37
United Kingdom,representative,9614,0.81375,651,2,6.51,31,100
United Kingdom,captured,19600,0.575,460,0,3.8333333333333335,22,120
United Kingdom,captured,19601,0.60875,487,0,3.4785714285714286,25,140
United Kingdom,captured,19602,0.61875,495,0,3.1132075471698113,22,159
United Kingdom,captured,19603,0.7325,586,1,5.979591836734694,34,98
United Kingdom,captured,19604,0.72625,581,0,4.303703703703704,24,135
United Kingdom,captured,19605,0.57875,463,0,4.026086956521739,43,115
United Kingdom,captured,19606,0.73625,589,0,4.908333333333333,25,120
United Kingdom,captured,19607,0.66625,533,0,4.068702290076335,24,131
United Kingdom,captured,19608,0.80375,643,0,6.768421052631579,36,95
United Kingdom,captured,19609,0.51375,411,1,2.6346153846153846,14,156
United Kingdom,captured,19610,0.50625,405,0,2.6298701298701297,19,154
United Kingdom,captured,19611,0.5375,430,4,2.5903614457831323,14,166
United Kingdom,captured,19612,0.74125,593,0,5.112068965517241,24,116
United Kingdom,captured,19613,0.905,724,2,17.238095238095237,152,42
United Kingdom,captured,19614,0.79375,635,0,6.479591836734694,40,98
United Kingdom,dictatorship,29600,0.07,56,7,1.1666666666666667,3,48
United Kingdom,dictatorship,29601,0.015,12,191,1.0,1,12
United Kingdom,dictatorship,29602,0.03625,29,33,1.0357142857142858,2,28
United Kingdom,dictatorship,29603,0.0325,26,63,1.2380952380952381,3,21
United Kingdom,dictatorship,29604,0.02875,23,63,1.2105263157894737,3,19
United Kingdom,dictatorship,29605,0.04,32,30,1.3333333333333333,3,24
United Kingdom,dictatorship,29606,0.1775,142,1,1.5604395604395604,10,91
United Kingdom,dictatorship,29607,0.0625,50,27,1.2820512820512822,4,39
United Kingdom,dictatorship,29608,0.01125,9,150,1.0,1,9
United Kingdom,dictatorship,29609,0.05625,45,17,1.40625,3,32
United Kingdom,dictatorship,29610,0.0175,14,16,1.0,1,14
United Kingdom,dictatorship,29611,0.06125,49,72,1.1666666666666667,3,42
United Kingdom,dictatorship,29612,0.0175,14,114,1.5555555555555556,4,9
United Kingdom,dictatorship,29613,0.05375,43,38,1.1944444444444444,3,36
United Kingdom,dictatorship,29614,0.0125,10,8,1.0,1,10
