country,regime,mean,ci95_lo,ci95_hi
Chile,captured,1719.1072733007081,1703.6163970743416,1734.5981495270746
Chile,dictatorship,1715.2723588745957,1700.1653509023952,1730.3793668467963
Chile,representative,1722.9828674327334,1707.5028209312425,1738.4629139342244
Egypt,captured,137.59275587580316,117.23536979972356,157.95014195188276
Egypt,dictatorship,141.87325694288415,121.30687122377515,162.43964266199316
Egypt,representative,161.5658253143969,135.10901597882355,188.02263464997026
Germany,captured,24.809573581472115,19.61159487784486,30.007552285099372
Germany,dictatorship,21.32048975959992,16.619749002272975,26.021230516926863
Germany,representative,22.5665576973381,17.590168504239294,27.54294689043691
Korea,captured,115.18038236396966,110.37465017332138,119.98611455461793
Korea,dictatorship,116.73827682601865,112.12572890518958,121.35082474684772
Korea,representative,211.66988977656743,191.2958706496244,232.04390890351047
Russia,captured,31.42905176970256,23.186973158352764,39.67113038105236
Russia,dictatorship,33.59147404251756,24.33142557311863,42.85152251191649
Russia,representative,36.74745150347901,30.063104706602502,43.431798300355524
South Africa,captured,31.221485939906138,29.406109808792902,33.03686207101938
South Africa,dictatorship,33.6456875818442,31.41000900417912,35.881366159509284
South Africa,representative,36.12282486651964,33.4167397099847,38.82891002305459
United Kingdom,captured,71.69595401820736,66.13166862977762,77.2602394066371
United Kingdom,dictatorship,63.90338134337158,58.02727495407801,69.77948773266515
United Kingdom,representative,65.42773049559122,58.14671489349956,72.70874609768288
United States,captured,299.62153637338884,293.0462183480412,306.1968543987365
United States,dictatorship,303.5288650289052,296.0840087933086,310.9737212645018
United States,representative,301.9139116533708,294.0862303682267,309.7415929385149
