seed_index,subsidy_per_recipient_slope,gini_recipients_slope,gini_non_recipients_slope,mean_n_recipients
0,0.01018739984383084,0.0009456828382055983,0.0009910373585781574,100.0
1,0.00882853866702457,0.001150858780196664,0.001118556306173778,100.0
2,0.009993904214894097,0.0007932258218212864,0.0009657808345813904,100.0
3,0.009925972051023633,0.0008277699769807693,0.0009842915407798345,100.0
4,0.010265841412929567,0.0012632205881491377,0.0012886524015879774,100.0
5,0.009538932904382147,0.0008699488221920663,0.0011520028582697487,100.0
6,0.010966122771142138,0.0011655618897927628,0.001305838898322344,100.0
7,0.009273937996302866,0.0011132464243989793,0.0010835226977913169,100.0
8,0.011053392317851775,0.0010569227238224157,0.0011337034667651881,100.0
9,0.009355486761710548,0.0006336530623189483,0.000693014146864494,100.0
