threshold_mean,sim_mean,sim_std,loss
0.62,0.0003642857142857143,0.0009829579609713372,6.414673128695774e-08
0.6,0.0004285714285714286,0.0011101571927544123,8.245200698884479e-08
0.64,0.0003,0.0008822171524427609,8.614551850770846e-08
0.66,0.00027142857142857144,0.0008503548086256942,1.0428676398835243e-07
0.58,0.0005071428571428572,0.001211385909474828,1.2056844489467587e-07
0.68,0.0002285714285714286,0.0007727282662183418,1.4358172986546594e-07
0.7,0.0002142857142857143,0.0007545818031860073,1.5825267317794056e-07
0.56,0.0005928571428571429,0.0013412095998601478,2.173095396684861e-07
0.72,0.0001642857142857143,0.0006420304741199069,2.3845033274180023e-07
0.74,0.00014285714285714287,0.0005866783048739751,2.861605035117694e-07
0.76,0.00012142857142857142,0.0005343395038302416,3.388543429534074e-07
0.54,0.0007,0.0014832897524368123,3.8132114373072266e-07
0.78,0.0001,0.0004504922620417689,4.2370647179209114e-07
0.52,0.0007928571428571429,0.0016654965261226722,6.645892602144326e-07
0.5,0.0009571428571428571,0.0018745609650239413,1.1313275385091865e-06
0.48,0.0011714285714285715,0.0022834579206260724,2.3177226246088987e-06
0.46,0.001392857142857143,0.0024517689477795207,3.1251607548891583e-06
0.44,0.0016071428571428573,0.002851726077278777,4.934905421995886e-06
0.42,0.0021714285714285715,0.004072309558573793,1.27126168070212e-05
0.4,0.002621428571428572,0.004711803382212527,1.8833540323123555e-05
