,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1960-03-31,542.648,5.133333333333334,58.9,,2.1366666666666667,,54413.666666666664,68770.0,,,,144.233,,,,,,,,3.341,896.0,13260.0,30.0,0.18120489969170275
1960-06-30,541.08,5.233333333333333,59.56666666666666,,2.14,,54545.333333333336,69713.0,,,,147.417,,,,,,,,3.341,896.0,13260.0,30.0,0.17964536042110585
1960-09-30,545.604,5.533333333333334,59.56666666666666,,2.15,,54268.333333333336,69912.33333333333,,,,150.459,,,,,,,,3.341,896.0,13260.0,30.0,0.17931888214790992
1960-12-31,540.197,6.266666666666666,59.63333333333333,,2.1566666666666667,,53948.333333333336,70239.33333333333,,,,153.78,,,,,,,,3.341,896.0,13260.0,30.0,0.17878567389134492
1961-03-31,545.018,6.8,59.63333333333333,,2.16,,53633.0,70523.33333333333,,,,157.254,,,,,,,,4.748,1031.0,10140.0,10.0,0.1753382973983387
1961-06-30,555.545,7.0,59.46666666666667,,2.19,,53796.666666666664,70532.33333333333,,,,160.737,,,,,,,,4.748,1031.0,10140.0,10.0,0.17532421057264946
1961-09-30,567.664,6.766666666666667,59.199999999999996,,2.2100000000000004,,54269.666666666664,70429.0,,,,162.661,,,,,,,,4.748,1031.0,10140.0,10.0,0.17548607726084417
1961-12-31,580.612,6.2,59.0,,2.2333333333333334,,54712.0,70315.0,,,,166.344,,,,,,,,4.748,1031.0,10140.0,10.0,0.17566498148217324
1962-03-31,594.013,5.633333333333333,58.9,,2.2566666666666664,,55118.0,70337.33333333333,,,,170.892,,,,,,,,3.536,793.0,11760.0,11.0,0.1649328971798342
1962-06-30,600.366,5.533333333333334,58.800000000000004,,2.263333333333333,,55624.666666666664,70447.66666666667,,,,173.125,,,,,,,,3.536,793.0,11760.0,11.0,0.1647579178542286
1962-09-30,609.027,5.566666666666666,58.833333333333336,,2.276666666666667,,55854.0,70812.0,,,,175.597,,,,,,,,3.536,793.0,11760.0,11.0,0.1641824316835026
1962-12-31,612.28,5.533333333333334,58.53333333333333,,2.29,,56041.666666666664,70880.66666666667,,,,178.206,,,,,,,,3.536,793.0,11760.0,11.0,0.16407436459248223
1963-03-31,621.672,5.766666666666667,58.6,,2.31,,56221.666666666664,71277.0,,,,179.393,,,0.367264745164,,,,,3.382,512.0,10020.0,79.0,0.1282724883604714
1963-06-30,629.752,5.733333333333333,58.699999999999996,,2.33,,56618.333333333336,71718.33333333333,,,,180.369,,,0.367264745164,,,,,3.382,512.0,10020.0,79.0,0.1276195045736547
1963-09-30,644.444,5.5,58.63333333333333,,2.35,,56927.333333333336,71957.66666666667,,,,184.862,,,0.367264745164,,,,,3.382,512.0,10020.0,79.0,0.1272674635361997
1963-12-31,653.938,5.566666666666666,58.699999999999996,,2.3699999999999997,,57299.666666666664,72295.66666666667,,,,186.792,,,0.367264745164,,,,,3.382,512.0,10020.0,79.0,0.12677274564561808
1964-03-31,669.822,5.466666666666666,58.699999999999996,,2.38,,57712.333333333336,72584.0,,,,190.075,,,0.373752861493,,,,,3.097,1183.0,16220.0,25.0,0.20345135022799968
1964-06-30,678.674,5.2,58.96666666666667,,2.4033333333333333,,58076.666666666664,73233.66666666667,,,,192.97,,,0.373752861493,,,,,3.097,1183.0,16220.0,25.0,0.20240207501955826
1964-09-30,692.031,5.0,58.63333333333333,,2.4233333333333333,,58644.666666666664,73138.33333333333,,,,193.295,,,0.373752861493,,,,,3.097,1183.0,16220.0,25.0,0.20255537141259117
1964-12-31,697.319,4.966666666666666,58.56666666666666,,2.42,,59144.0,73353.0,,,,192.973,,,0.373752861493,,,,,3.097,1183.0,16220.0,25.0,0.20221051197182394
1965-03-31,717.79,4.8999999999999995,58.666666666666664,,2.4600000000000004,,59795.0,73791.66666666667,,,,196.198,,,0.36825404535,,,,,2.749,999.0,15140.0,25.0,0.18678474348786825
1965-06-30,730.191,4.666666666666667,58.86666666666667,,2.483333333333334,,60480.0,74368.66666666667,,,,200.088,,,0.36825404535,,,,,2.749,999.0,15140.0,25.0,0.18588354390148745
1965-09-30,749.323,4.366666666666667,58.9,,2.5,,61227.666666666664,74626.33333333333,,,,208.98,,,0.36825404535,,,,,2.749,999.0,15140.0,25.0,0.18548374310307106
1965-12-31,771.857,4.1000000000000005,58.9,,2.5233333333333334,,62012.333333333336,74909.33333333333,,,,214.261,,,0.36825404535,,,,,2.749,999.0,15140.0,25.0,0.18504649432710132
1966-03-31,795.734,3.8666666666666667,58.86666666666667,,2.5533333333333332,,62839.0,75071.66666666667,,,,221.114,,,0.370973292061,,,,0.9,2.404,1300.0,16000.0,29.0,0.20514724179102448
1966-06-30,804.981,3.8333333333333335,59.03333333333333,,2.58,,63753.333333333336,75477.33333333333,,,,227.479,,,0.370973292061,,,,0.9,2.404,1300.0,16000.0,29.0,0.20451501233137354
1966-09-30,819.638,3.766666666666667,59.23333333333333,,2.6133333333333333,,64483.666666666664,75946.0,,,,235.644,,,0.370973292061,,,,0.9,2.404,1300.0,16000.0,29.0,0.20378948415085651
1966-12-31,833.302,3.6999999999999997,59.46666666666667,,2.643333333333333,,65024.0,76483.33333333333,,,,243.763,,,0.370973292061,,,,0.9,2.404,1300.0,16000.0,29.0,0.202964019008008
1967-03-31,844.17,3.8333333333333335,59.300000000000004,,2.6633333333333336,,65455.333333333336,76496.0,,,,255.415,,,0.368747370356,,,,0.9,2.756,2192.0,31320.0,83.0,0.2750044702862657
1967-06-30,848.983,3.8333333333333335,59.43333333333334,,2.686666666666667,,65612.0,76940.0,,,,256.922,,,0.368747370356,,,,0.9,2.756,2192.0,31320.0,83.0,0.2742684019788061
1967-09-30,865.233,3.7999999999999994,59.666666666666664,,2.723333333333333,,66065.0,77662.66666666667,,,,264.199,,,0.368747370356,,,,0.9,2.756,2192.0,31320.0,83.0,0.2730803114791564
1967-12-31,881.439,3.9,59.86666666666667,,2.7533333333333334,,66609.33333333333,78292.0,,,,268.385,,,0.368747370356,,,,0.9,2.756,2192.0,31320.0,83.0,0.2720555540039817
1968-03-31,909.387,3.733333333333333,59.46666666666667,,2.823333333333333,,67104.66666666667,78021.33333333333,,,,277.111,,,0.363226683799,,,,0.9,2.754,1855.0,35367.0,85.0,0.26817786054863274
1968-06-30,934.344,3.5666666666666664,59.800000000000004,,2.8666666666666667,,67704.33333333333,78745.66666666667,,,,286.708,,,0.363226683799,,,,0.9,2.754,1855.0,35367.0,85.0,0.26699747933284235
1968-09-30,950.825,3.533333333333333,59.63333333333333,,2.9,,68313.33333333333,78879.66666666667,,,,292.215,,,0.363226683799,,,,0.9,2.754,1855.0,35367.0,85.0,0.2667804207082518
1968-12-31,968.03,3.4,59.6,,2.956666666666667,,68984.33333333333,79195.0,,,,298.982,,,0.363226683799,,,,0.9,2.754,1855.0,35367.0,85.0,0.2662712276320202
1969-03-31,993.337,3.4,59.833333333333336,,3.0,,69681.0,79873.66666666667,,,,300.566,,,0.360074340258,,,,0.9,2.869,1576.0,29397.0,34.0,0.2433264166570671
1969-06-30,1009.02,3.4333333333333336,59.96666666666667,,3.0399999999999996,,70345.33333333333,80367.33333333333,,,,307.101,,,0.360074340258,,,,0.9,2.869,1576.0,29397.0,34.0,0.24255639131376103
1969-09-30,1029.956,3.5666666666666664,60.23333333333333,,3.1,,70883.66666666667,81074.33333333333,,,,313.917,,,0.360074340258,,,,0.9,2.869,1576.0,29397.0,34.0,0.2414627637006442
1969-12-31,1038.147,3.5666666666666664,60.26666666666667,,3.14,,71149.33333333333,81505.0,,,,318.243,,,0.360074340258,,,,0.9,2.869,1576.0,29397.0,34.0,0.24080179731818377
1970-03-31,1051.2,4.166666666666667,60.46666666666667,,3.1733333333333333,,71310.66666666667,82210.0,,,,325.878,,,0.365928276595,,,11.3270795,5.1,4.765,2468.0,52761.0,25.0,0.3054043012618817
1970-06-30,1067.375,4.766666666666667,60.36666666666667,,3.216666666666667,,71167.0,82564.66666666667,,,,339.049,,,0.365928276595,,,11.3270795,5.1,4.765,2468.0,52761.0,25.0,0.30483857100419615
1970-09-30,1086.059,5.166666666666667,60.300000000000004,,3.266666666666667,,70978.0,82911.66666666667,,,,346.412,,,0.365928276595,,,11.3270795,5.1,4.765,2468.0,52761.0,25.0,0.30428759535977545
1970-12-31,1088.608,5.833333333333333,60.4,,3.28,,70574.0,83498.0,,,,354.25,,,0.365928276595,,,11.3270795,5.1,4.765,2468.0,52761.0,25.0,0.303362217341172
