,gdp_billions,unemployment_rate_pct,lfpr_pct,avg_hourly_earnings_nominal,avg_hourly_earnings_real,job_openings_thousands,total_nonfarm_employment,civilian_labor_force_thousands,wage_p10,wage_p50,wage_p90,fed_tax_revenue_pct_gdp,wage_growth_yoy,labor_market_tightness,gini_coefficient,avg_federal_tax_rate_pct,redist_eitc,redist_snap,redist_medicaid,redist_ui,workers_affected,days_idle,civil_unrest_events,protest_intensity_score
1960-03-31,9.3,5.133333333333334,58.9,,2.1366666666666667,,54413.666666666664,68770.0,,,,144.233,,,,,,,,3.341,896.0,13260.0,30.0,0.5000065144685183
1960-06-30,-2.1,5.233333333333333,59.56666666666666,,2.14,,54545.333333333336,69713.0,,,,147.417,,,,,,,,3.341,896.0,13260.0,30.0,0.5000064263480269
1960-09-30,2.0,5.533333333333334,59.56666666666666,,2.15,,54268.333333333336,69912.33333333333,,,,150.459,,,,,,,,3.341,896.0,13260.0,30.0,0.5000064080252888
1960-12-31,-5.0,6.266666666666666,59.63333333333333,,2.1566666666666667,,53948.333333333336,70239.33333333333,,,,153.78,,,,,,,,3.341,896.0,13260.0,30.0,0.5000063781926556
1961-03-31,2.7,6.8,59.63333333333333,,2.16,,53633.0,70523.33333333333,,,,157.254,,,,,,,,4.748,1031.0,10140.0,10.0,0.5000073096374722
1961-06-30,7.0,7.0,59.46666666666667,,2.19,,53796.666666666664,70532.33333333333,,,,160.737,,,,,,,,4.748,1031.0,10140.0,10.0,0.5000073087047547
1961-09-30,7.9,6.766666666666667,59.199999999999996,,2.2100000000000004,,54269.666666666664,70429.0,,,,162.661,,,,,,,,4.748,1031.0,10140.0,10.0,0.5000073194280765
1961-12-31,8.1,6.2,59.0,,2.2333333333333334,,54712.0,70315.0,,,,166.344,,,,,,,,4.748,1031.0,10140.0,10.0,0.5000073312948873
1962-03-31,7.3,5.633333333333333,58.9,,2.2566666666666664,,55118.0,70337.33333333333,,,,170.892,,,,,,,,3.536,793.0,11760.0,11.0,0.5000056371201638
1962-06-30,3.7,5.533333333333334,58.800000000000004,,2.263333333333333,,55624.666666666664,70447.66666666667,,,,173.125,,,,,,,,3.536,793.0,11760.0,11.0,0.5000056282914503
1962-09-30,5.0,5.566666666666666,58.833333333333336,,2.276666666666667,,55854.0,70812.0,,,,175.597,,,,,,,,3.536,793.0,11760.0,11.0,0.5000055993334463
1962-12-31,1.3,5.533333333333334,58.53333333333333,,2.29,,56041.666666666664,70880.66666666667,,,,178.206,,,,,,,,3.536,793.0,11760.0,11.0,0.5000055939090113
1963-03-31,4.4,5.766666666666667,58.6,,2.31,,56221.666666666664,71277.0,,,,179.393,,,,,,,,3.382,512.0,10020.0,79.0,0.5000035916214206
1963-06-30,4.6,5.733333333333333,58.699999999999996,,2.33,,56618.333333333336,71718.33333333333,,,,180.369,,,,,,,,3.382,512.0,10020.0,79.0,0.5000035695196486
1963-09-30,9.1,5.5,58.63333333333333,,2.35,,56927.333333333336,71957.66666666667,,,,184.862,,,,,,,,3.382,512.0,10020.0,79.0,0.5000035576473204
1963-12-31,2.6,5.566666666666666,58.699999999999996,,2.3699999999999997,,57299.666666666664,72295.66666666667,,,,186.792,,,,,,,,3.382,512.0,10020.0,79.0,0.5000035410144453
1964-03-31,8.7,5.466666666666666,58.699999999999996,,2.38,,57712.333333333336,72584.0,,,,190.075,,,,,,,,3.097,1183.0,16220.0,25.0,0.5000081491788824
1964-06-30,4.4,5.2,58.96666666666667,,2.4033333333333333,,58076.666666666664,73233.66666666667,,,,192.97,,,,,,,,3.097,1183.0,16220.0,25.0,0.5000080768863137
1964-09-30,6.4,5.0,58.63333333333333,,2.4233333333333333,,58644.666666666664,73138.33333333333,,,,193.295,,,,,,,,3.097,1183.0,16220.0,25.0,0.5000080874142606
